dis,ang1,ang2,collision
28,290,188,1
60,291,333,1
24,156,342,1
34,120,221,1
52,49,56,1
43,15,71,1
41,74,325,1
26,163,213,1
52,251,135,0
58,105,321,1
58,54,289,1
20,192,103,1
32,143,28,1
47,108,116,1
58,228,149,1
42,308,352,1
35,266,255,1
49,213,8,1
48,197,0,1
35,319,52,1
44,283,104,0
60,196,312,1
46,290,282,1
65,131,8,1
45,345,64,1
38,309,189,1
24,152,226,1
39,143,6,1
32,60,294,1
35,247,254,1
39,205,193,1
45,111,330,1
21,310,336,1
30,161,317,1
38,150,255,1
31,29,255,1
54,219,223,1
59,301,285,1
49,336,156,1
54,146,223,1
54,309,132,0
19,278,268,1
49,347,215,1
63,22,177,1
63,83,356,1
26,110,325,1
49,205,112,1
23,98,57,1
29,171,247,1
40,249,288,1
31,83,167,1
62,43,160,1
19,276,87,1
54,329,238,1
50,258,166,1
24,66,280,1
27,319,294,1
63,69,126,1
44,292,201,1
27,357,73,1
22,131,304,1
56,249,342,1
65,297,76,0
62,343,107,0
23,290,147,1
45,58,112,1
46,327,77,1
53,142,48,1
34,343,129,1
48,115,180,1
47,254,291,1
44,92,303,1
22,90,289,1
40,138,48,1
26,71,154,1
18,248,271,1
55,340,172,1
20,352,45,1
22,125,136,1
20,292,227,1
50,153,341,1
42,264,91,0
21,204,289,1
19,232,231,1
18,147,283,1
40,355,129,1
28,335,232,1
48,334,137,1
55,333,215,1
60,2,45,1
32,61,302,1
21,135,264,1
45,86,61,1
54,73,139,1
61,202,169,1
27,12,9,1
29,145,151,1
34,165,201,1
30,187,350,1
51,82,300,1
25,119,119,1
35,75,140,1
55,323,16,1
53,31,152,1
48,78,312,1
31,167,164,1
54,314,188,1
54,295,250,1
60,200,232,1
27,301,80,1
18,321,288,1
26,156,281,1
47,353,298,1
28,181,304,1
35,31,99,1
34,133,245,1
51,242,317,1
22,106,276,1
44,146,248,1
27,53,67,1
46,351,99,1
22,310,198,1
54,16,301,1
49,274,224,1
39,124,349,1
58,341,249,1
40,303,2,1
47,260,358,1
62,207,13,1
34,106,356,1
21,244,133,1
21,343,104,1
19,39,306,1
36,317,3,1
47,112,219,1
48,67,94,1
45,332,59,1
28,61,210,1
36,65,246,1
63,70,226,1
31,162,49,1
26,203,65,1
27,29,59,1
28,195,293,1
20,261,324,1
37,176,29,1
43,219,286,1
42,151,241,1
21,7,332,1
62,156,176,1
30,58,168,1
19,305,199,1
32,271,128,1
25,337,126,1
35,227,129,1
64,20,214,1
22,311,9,1
18,187,96,1
51,230,7,1
51,26,175,1
29,306,225,1
63,75,180,1
23,136,96,1
31,155,14,1
56,241,329,1
54,267,141,0
44,253,156,1
40,219,219,1
39,95,343,1
28,280,182,1
62,255,23,0
39,97,300,1
54,250,86,0
29,53,107,1
39,46,118,1
41,49,200,1
23,180,72,1
40,88,330,1
54,271,42,0
23,326,206,1
65,245,121,0
19,77,346,1
26,30,120,1
38,75,44,1
55,120,117,1
37,305,4,1
63,46,250,1
46,228,188,1
64,344,175,1
54,265,55,0
53,193,290,1
43,55,234,1
39,160,157,1
31,113,14,1
45,151,179,1
56,263,157,0
30,316,212,1
37,199,176,1
36,68,306,1
52,2,233,1
39,122,235,1
19,261,140,1
34,151,122,1
60,209,267,1
28,232,118,1
62,80,192,1
19,206,169,1
35,82,150,1
57,311,118,0
21,110,25,1
45,75,353,1
27,243,50,1
35,201,6,1
39,219,225,1
42,53,113,1
31,130,88,1
21,246,74,1
19,159,295,1
25,90,355,1
63,307,246,1
55,139,7,1
40,304,153,1
53,259,261,1
28,79,307,1
60,3,92,0
46,184,216,1
34,326,49,1
41,223,263,1
53,16,157,1
52,230,87,0
49,193,61,1
33,166,349,1
38,307,246,1
19,231,244,1
43,88,23,1
27,277,308,1
62,145,241,1
60,14,73,0
43,227,151,1
28,67,326,1
24,298,279,1
31,37,256,1
49,164,7,1
33,324,226,1
26,275,298,1
57,259,151,0
41,262,87,0
44,152,206,1
58,229,310,1
31,357,180,1
52,100,229,1
41,88,111,1
44,44,12,1
36,223,221,1
19,37,27,1
32,129,273,1
23,240,60,1
20,351,119,1
42,164,33,1
46,323,294,1
49,67,351,1
30,186,288,1
61,100,19,1
39,290,295,1
59,226,108,0
36,292,231,1
54,114,288,1
55,304,153,0
45,287,351,1
41,204,110,1
55,175,178,1
49,33,349,1
36,20,185,1
19,130,198,1
49,103,229,1
63,123,229,1
48,175,309,1
60,201,221,1
48,331,203,1
42,267,44,1
34,100,60,1
44,184,240,1
38,18,124,1
44,166,258,1
58,102,40,1
30,131,248,1
41,118,128,1
24,107,225,1
63,177,3,1
48,311,89,0
39,192,140,1
32,174,268,1
63,318,229,1
52,152,274,1
59,142,172,1
38,306,80,1
31,22,212,1
52,156,104,1
24,12,103,1
26,325,358,1
40,187,184,1
19,164,110,1
57,224,202,1
22,297,46,1
47,223,188,1
56,243,297,1
26,325,228,1
21,285,113,1
60,266,208,1
48,317,179,1
62,186,270,1
25,267,52,1
24,261,268,1
54,328,304,1
62,126,142,1
45,166,61,1
51,310,147,0
38,297,172,1
22,158,195,1
62,133,3,1
63,36,182,1
27,163,116,1
20,33,287,1
51,294,42,1
45,87,77,1
40,8,252,1
21,194,304,1
35,278,48,1
36,20,59,1
44,269,253,1
63,252,8,0
58,78,114,1
48,177,295,1
54,125,180,1
24,243,195,1
65,108,230,1
21,119,25,1
45,11,322,1
25,139,267,1
22,18,259,1
40,324,65,1
53,285,78,0
35,255,58,1
50,108,236,1
38,41,255,1
64,73,198,1
35,104,315,1
37,313,267,1
20,110,355,1
33,264,298,1
19,295,85,1
35,260,318,1
64,32,73,1
63,340,212,1
24,272,136,1
48,119,59,1
41,351,60,1
42,99,27,1
54,343,197,1
23,13,77,1
63,141,123,1
42,8,107,1
53,356,67,1
44,157,289,1
23,66,239,1
61,257,314,1
36,167,7,1
42,77,215,1
39,239,295,1
20,190,218,1
38,213,284,1
27,95,101,1
30,342,237,1
28,90,280,1
60,252,163,0
25,294,260,1
23,69,110,1
56,252,181,1
46,325,166,1
53,11,285,1
56,123,147,1
30,255,356,1
56,238,245,1
25,131,255,1
55,138,37,1
62,293,229,1
54,262,326,1
51,359,300,1
22,293,210,1
20,25,236,1
42,195,240,1
31,232,177,1
37,147,50,1
64,269,184,0
37,179,140,1
55,81,145,1
27,342,123,1
38,310,260,1
31,73,15,1
45,48,224,1
33,244,272,1
42,30,85,1
39,200,240,1
29,22,257,1
22,29,61,1
56,236,178,1
34,305,296,1
43,332,65,1
22,128,178,1
39,326,131,1
37,151,32,1
22,245,42,1
46,257,270,1
43,174,47,1
50,311,19,1
29,312,290,1
39,171,232,1
61,289,340,1
38,313,322,1
41,27,229,1
21,234,206,1
62,140,278,1
63,110,73,1
30,175,311,1
22,161,151,1
36,63,236,1
46,186,256,1
58,54,217,1
43,195,92,1
23,202,199,1
62,188,353,1
20,286,332,1
47,185,126,1
54,40,45,1
31,304,153,1
23,270,231,1
40,188,193,1
23,308,108,1
36,9,264,1
59,289,60,0
49,78,298,1
41,119,152,1
55,55,16,1
38,258,269,1
64,119,24,1
21,104,224,1
29,327,4,1
55,23,126,1
30,150,149,1
39,30,239,1
49,148,98,1
65,237,293,1
53,50,305,1
25,265,263,1
43,7,42,1
23,275,319,1
65,112,70,1
30,295,289,1
20,90,318,1
44,213,286,1
28,236,190,1
33,0,145,1
59,352,315,1
55,9,68,1
46,28,41,1
36,116,207,1
36,197,80,1
39,82,27,1
55,244,69,0
64,285,60,0
34,359,154,1
57,220,351,1
41,315,205,1
57,149,85,1
62,64,351,1
21,111,249,1
56,106,93,1
64,349,149,0
42,57,266,1
55,268,252,1
61,111,176,1
20,139,246,1
51,17,186,1
34,13,9,1
37,103,287,1
64,313,346,1
23,192,37,1
31,20,139,1
31,128,101,1
53,46,12,1
47,172,129,1
25,210,155,1
57,114,142,1
53,190,296,1
53,236,164,1
23,269,331,1
40,288,87,0
21,241,37,1
33,333,165,1
46,25,263,1
52,153,113,1
57,103,340,1
57,56,336,1
36,129,346,1
57,251,163,1
43,188,300,1
58,70,33,1
26,231,279,1
58,178,174,1
63,99,131,1
41,164,356,1
31,343,22,1
34,339,278,1
34,226,111,1
31,141,269,1
31,314,309,1
33,123,207,1
50,242,354,1
59,30,264,1
62,281,257,1
34,340,0,1
60,318,1,1
47,286,174,1
30,209,242,1
59,207,133,1
60,212,285,1
49,313,176,1
21,37,249,1
58,95,164,1
60,156,276,1
31,247,90,1
41,27,259,1
52,35,239,1
40,322,117,1
51,344,180,1
42,276,349,1
35,278,131,1
60,217,207,1
33,228,18,1
30,78,58,1
34,155,287,1
31,109,345,1
24,251,257,1
63,57,335,1
49,188,327,1
57,44,266,1
27,87,45,1
37,311,323,1
49,212,313,1
30,141,218,1
55,219,308,1
30,331,296,1
39,269,169,1
47,165,48,1
25,316,52,1
61,220,29,0
53,242,307,1
63,73,86,1
60,96,45,1
33,260,206,1
55,119,308,1
22,141,341,1
60,101,217,1
21,116,78,1
58,148,358,1
31,48,279,1
53,81,314,1
37,116,0,1
25,196,283,1
32,138,247,1
54,145,114,1
28,285,35,1
46,255,43,0
42,60,55,1
26,224,148,1
25,303,247,1
39,66,180,1
45,104,5,1
54,77,252,1
27,324,357,1
49,184,202,1
22,212,133,1
45,21,351,1
45,316,163,1
55,344,109,0
41,339,259,1
38,196,73,1
29,20,341,1
31,219,136,1
55,170,142,1
43,286,254,1
46,174,241,1
39,333,151,1
62,4,23,1
40,290,247,1
54,131,235,1
30,20,336,1
49,259,79,0
20,107,96,1
32,58,18,1
56,276,94,0
63,69,220,1
55,349,204,1
43,283,26,1
50,93,341,1
38,160,205,1
61,215,40,0
28,173,71,1
60,44,32,1
56,46,292,1
34,240,34,1
63,292,318,1
47,273,335,1
50,328,239,1
24,127,34,1
33,224,315,1
37,142,216,1
53,272,290,1
30,93,237,1
65,320,140,0
38,121,255,1
43,53,23,1
55,172,65,1
23,41,16,1
57,360,15,1
52,138,275,1
43,344,336,1
37,19,68,1
33,64,51,1
29,148,181,1
28,117,19,1
32,125,31,1
40,157,129,1
35,348,348,1
48,282,73,0
52,20,262,1
56,165,307,1
48,34,156,1
47,216,295,1
31,233,160,1
44,72,305,1
48,270,41,0
21,113,116,1
55,274,340,1
50,344,241,1
23,189,34,1
58,118,142,1
20,234,352,1
22,313,262,1
21,127,97,1
58,185,69,0
55,295,18,1
40,307,131,0
47,352,124,1
30,235,182,1
42,127,76,1
56,177,355,1
27,90,16,1
20,71,251,1
23,78,137,1
54,9,80,1
21,17,272,1
28,55,227,1
25,333,76,1
27,146,74,1
49,313,308,1
27,38,295,1
28,207,332,1
50,22,59,1
46,323,137,0
39,90,146,1
37,70,269,1
51,347,14,1
40,6,298,1
55,102,126,1
53,255,45,0
52,167,14,1
23,236,246,1
50,62,32,1
34,239,357,1
44,315,271,1
33,277,272,1
33,72,122,1
31,160,52,1
19,70,170,1
19,350,74,1
44,320,202,1
19,57,2,1
19,84,21,1
35,294,111,0
59,332,219,1
40,78,115,1
55,121,312,1
39,115,118,1
58,22,205,1
35,222,259,1
64,10,66,0
50,144,69,1
38,304,194,1
59,74,146,1
65,296,187,0
29,10,16,1
45,149,95,1
60,125,157,1
44,296,77,0
24,232,229,1
27,157,196,1
61,119,172,1
58,275,34,0
62,49,276,1
19,36,289,1
43,48,43,1
27,4,330,1
43,194,173,1
28,128,273,1
55,202,110,1
35,149,154,1
30,207,91,1
48,190,282,1
44,21,50,1
33,256,214,1
46,39,59,1
64,6,97,0
45,51,191,1
55,217,224,1
56,44,280,1
53,188,239,1
18,74,85,1
47,152,127,1
28,69,64,1
31,25,101,1
32,133,148,1
54,350,22,1
33,166,164,1
46,211,111,1
48,166,219,1
26,279,62,1
40,44,234,1
56,191,86,0
46,142,197,1
43,85,345,1
27,23,169,1
24,270,322,1
62,321,124,0
29,276,286,1
24,49,294,1
41,83,332,1
22,189,315,1
62,287,58,0
37,73,249,1
23,10,207,1
38,36,98,1
52,303,338,1
34,175,212,1
45,118,60,1
56,245,77,0
42,149,67,1
20,203,34,1
37,194,172,1
49,70,300,1
37,142,22,1
29,135,336,1
32,85,351,1
50,315,122,0
23,264,344,1
35,63,23,1
36,112,25,1
26,297,334,1
48,242,56,0
25,18,196,1
39,323,175,1
64,240,142,0
21,271,276,1
31,69,264,1
20,167,26,1
41,349,150,1
38,189,77,1
24,126,125,1
19,216,310,1
41,173,343,1
49,218,339,1
52,181,52,1
21,145,344,1
40,116,17,1
21,236,96,1
25,26,327,1
56,313,182,1
33,233,42,1
24,344,167,1
49,26,36,1
55,296,164,0
49,199,159,1
34,68,282,1
49,243,92,0
60,29,106,0
27,223,272,1
34,343,67,1
32,11,99,1
40,125,235,1
44,249,11,1
22,90,305,1
37,58,277,1
37,336,152,1
23,61,118,1
61,275,8,0
60,275,266,1
40,286,325,1
54,233,105,0
29,348,287,1
34,249,221,1
26,4,102,1
61,113,255,1
38,222,95,1
48,53,28,1
50,15,64,1
20,185,27,1
45,300,281,1
21,288,119,1
46,119,134,1
42,244,256,1
46,90,175,1
52,337,27,1
58,274,316,1
47,16,321,1
28,127,324,1
57,288,76,0
18,75,254,1
48,333,117,0
33,309,304,1
49,202,86,1
54,147,183,1
53,282,258,1
21,207,174,1
27,26,278,1
48,133,259,1
55,288,239,1
53,139,32,1
65,207,0,1
31,209,307,1
63,262,200,0
27,209,238,1
59,20,144,1
47,5,23,1
21,167,154,1
31,353,166,1
59,196,220,1
23,310,9,1
47,92,165,1
30,274,41,1
55,57,58,1
47,337,141,1
30,167,283,1
33,142,98,1
33,181,295,1
30,80,160,1
37,93,240,1
56,170,188,1
48,243,327,1
43,54,332,1
24,178,145,1
53,337,184,1
54,248,138,0
52,195,8,1
59,114,242,1
63,265,89,0
24,123,300,1
60,56,273,1
32,33,306,1
40,281,159,1
36,312,301,1
56,167,307,1
52,51,297,1
43,146,244,1
46,34,45,1
63,256,159,0
22,66,329,1
40,302,242,1
51,175,240,1
23,48,41,1
39,359,7,1
55,215,350,1
49,205,94,1
26,71,85,1
41,343,262,1
24,208,170,1
45,240,152,1
30,148,184,1
57,316,144,0
33,356,358,1
64,90,315,1
60,225,201,1
38,192,256,1
57,232,61,0
37,281,165,1
34,98,141,1
43,77,311,1
59,355,50,1
41,33,302,1
63,143,184,1
18,176,207,1
30,61,45,1
53,327,341,1
63,106,236,1
59,343,199,1
27,80,30,1
37,166,220,1
33,307,264,1
36,280,242,1
41,9,175,1
64,86,218,1
29,217,77,1
51,352,175,1
39,76,2,1
46,348,23,1
22,183,257,1
46,116,128,1
20,8,99,1
39,358,313,1
44,219,33,1
21,92,35,1
58,94,54,1
30,275,255,1
29,45,290,1
33,218,200,1
43,234,157,1
27,185,26,1
30,98,114,1
64,303,153,0
22,251,64,1
39,152,134,1
40,252,54,0
46,322,303,1
22,222,32,1
50,168,15,1
53,63,161,1
30,266,97,1
37,145,259,1
21,277,50,1
29,206,76,1
63,109,77,1
54,143,69,1
60,319,119,0
41,309,217,1
40,5,198,1
34,272,63,1
37,159,270,1
21,139,18,1
48,326,79,1
60,259,211,1
25,93,299,1
47,286,273,1
62,321,246,1
39,345,256,1
60,83,225,1
61,29,311,1
61,217,24,0
54,193,68,0
54,219,126,1
24,247,190,1
64,61,295,1
31,247,244,1
65,358,1,1
59,262,30,0
34,277,281,1
47,305,275,1
38,5,148,1
21,194,211,1
47,74,289,1
40,7,256,1
40,117,15,1
50,146,224,1
51,97,253,1
48,148,231,1
20,242,284,1
55,17,295,1
65,128,352,1
29,353,271,1
23,119,150,1
53,196,307,1
18,77,212,1
20,40,329,1
40,47,325,1
22,4,95,1
43,154,22,1
27,328,93,1
20,166,254,1
18,44,295,1
59,107,179,1
20,131,246,1
64,297,142,0
45,111,42,1
61,272,280,1
23,125,214,1
53,331,141,0
46,133,173,1
47,64,52,1
23,16,126,1
60,293,241,1
46,24,174,1
64,209,330,1
64,290,261,1
21,74,81,1
45,21,117,1
58,123,170,1
52,184,222,1
52,279,277,1
62,143,123,1
18,210,176,1
43,81,92,1
58,14,8,1
39,59,41,1
31,180,261,1
44,247,119,1
48,110,114,1
36,187,16,1
35,64,287,1
42,143,230,1
39,92,271,1
55,220,44,0
38,135,282,1
19,93,282,1
52,46,204,1
32,212,212,1
28,142,21,1
45,29,101,1
48,315,177,1
27,25,344,1
60,353,128,0
64,143,257,1
18,211,355,1
53,118,332,1
37,184,9,1
19,302,356,1
54,263,211,1
64,330,305,1
53,313,359,1
39,126,48,1
27,141,285,1
40,67,312,1
62,349,12,1
41,269,213,1
62,125,284,1
53,324,11,1
21,137,210,1
38,187,302,1
21,357,348,1
63,261,135,0
51,165,268,1
61,38,65,1
64,201,266,1
60,338,324,1
35,240,123,1
27,212,0,1
31,322,152,1
59,317,5,1
45,86,245,1
55,320,86,0
38,358,100,1
19,29,35,1
36,198,194,1
20,171,321,1
40,288,119,0
24,291,215,1
38,354,96,1
23,218,69,1
55,45,150,1
38,66,310,1
43,270,334,1
37,347,108,1
59,58,324,1
55,337,144,0
19,319,132,1
44,159,244,1
51,192,313,1
34,316,313,1
22,16,246,1
39,320,218,1
30,13,186,1
62,70,27,1
41,17,230,1
59,23,275,1
31,270,272,1
35,329,196,1
28,227,292,1
54,311,233,1
37,198,308,1
40,249,341,1
37,243,52,0
23,78,171,1
30,85,334,1
45,19,223,1
45,191,1,1
28,162,23,1
41,163,93,1
40,10,208,1
60,70,306,1
29,341,270,1
52,348,303,1
22,177,58,1
27,23,124,1
50,125,225,1
51,215,147,1
44,360,8,1
52,79,332,1
60,115,96,1
55,328,153,0
54,141,73,1
35,16,185,1
35,17,49,1
33,159,234,1
61,233,276,1
58,254,128,0
45,139,150,1
50,40,271,1
20,8,92,1
43,158,86,1
33,149,62,1
56,165,126,1
37,352,112,1
25,307,214,1
31,119,255,1
38,48,299,1
48,122,123,1
34,34,256,1
27,313,216,1
62,138,114,1
60,92,59,1
44,216,343,1
34,274,342,1
55,127,69,1
34,82,185,1
54,335,31,1
52,288,302,1
61,290,79,0
28,281,248,1
42,166,251,1
35,169,143,1
64,201,222,1
25,64,333,1
47,182,77,1
30,131,27,1
23,127,302,1
39,237,100,1
47,290,218,1
40,53,211,1
23,193,177,1
64,263,115,0
59,291,14,0
32,8,27,1
54,246,144,1
59,290,59,0
46,270,23,1
56,216,221,1
29,250,316,1
20,176,349,1
38,92,57,1
51,33,147,1
52,224,132,1
28,347,101,1
61,321,157,0
31,166,138,1
26,203,143,1
63,27,82,0
35,51,312,1
40,158,257,1
24,245,122,1
40,269,325,1
44,331,315,1
48,209,88,1
48,61,285,1
50,272,198,1
35,268,254,1
30,62,274,1
32,195,346,1
63,169,222,1
58,303,353,1
29,219,285,1
31,125,331,1
31,92,19,1
26,178,47,1
32,337,69,1
39,131,52,1
64,110,45,1
54,129,276,1
52,303,273,1
28,334,193,1
24,58,105,1
57,225,349,1
42,175,316,1
53,360,341,1
39,144,8,1
52,108,9,1
58,98,213,1
49,264,294,1
41,135,332,1
49,312,153,0
20,189,263,1
58,271,84,0
63,275,170,0
33,250,292,1
53,226,312,1
48,321,283,1
52,144,354,1
55,344,333,1
28,352,36,1
35,178,294,1
49,279,298,1
27,184,272,1
51,28,226,1
54,90,246,1
60,242,211,1
26,345,215,1
36,292,151,1
19,41,61,1
28,178,175,1
62,99,308,1
64,23,246,1
20,240,42,1
54,334,329,1
19,115,121,1
48,8,281,1
40,100,136,1
33,329,138,1
28,147,262,1
21,164,175,1
42,160,49,1
44,168,278,1
62,339,25,1
43,137,153,1
43,207,157,1
62,354,49,1
46,189,98,1
46,39,137,1
30,169,196,1
36,65,228,1
52,294,178,1
26,179,59,1
30,344,339,1
23,295,209,1
62,250,168,0
38,345,295,1
54,170,302,1
58,89,179,1
24,33,198,1
58,292,244,1
35,124,359,1
47,312,111,0
31,292,277,1
62,30,169,1
45,214,128,1
38,187,313,1
51,159,255,1
63,275,245,1
22,201,119,1
18,254,338,1
50,277,198,1
49,109,292,1
65,308,125,0
32,251,256,1
59,94,327,1
54,237,54,0
19,98,31,1
27,183,199,1
30,350,28,1
18,148,41,1
26,93,67,1
36,43,264,1
59,302,78,0
25,43,337,1
33,187,46,1
44,190,350,1
47,101,203,1
20,330,93,1
59,62,262,1
46,16,298,1
21,181,113,1
59,264,266,1
62,206,45,0
42,154,303,1
33,266,302,1
59,120,143,1
57,51,73,1
36,326,288,1
36,35,109,1
36,354,202,1
33,261,100,1
29,98,283,1
58,269,82,0
32,318,254,1
62,202,86,0
28,36,104,1
52,314,188,1
33,4,197,1
39,80,211,1
41,121,186,1
34,276,166,1
22,196,300,1
35,76,88,1
27,337,291,1
45,5,289,1
38,261,249,1
40,222,132,1
30,282,234,1
63,129,277,1
35,323,208,1
48,70,122,1
29,263,31,1
61,320,232,1
45,169,142,1
22,347,102,1
29,163,71,1
43,208,101,1
28,30,101,1
57,26,278,1
55,71,346,1
25,79,190,1
63,157,332,1
64,240,340,0
21,52,303,1
30,264,46,1
19,80,32,1
34,243,73,0
37,22,278,1
43,183,313,1
21,86,27,1
22,273,356,1
21,265,11,1
34,67,337,1
60,324,349,1
22,265,88,1
64,347,133,0
38,107,232,1
19,146,119,1
36,227,342,1
57,352,239,1
47,149,228,1
30,254,66,1
53,19,129,1
56,115,26,1
19,144,330,1
48,158,64,1
24,127,28,1
23,83,55,1
58,164,159,1
54,180,159,1
64,221,132,0
34,247,274,1
63,145,114,1
52,107,271,1
29,28,277,1
30,238,75,1
43,119,17,1
45,280,117,0
35,267,184,1
59,338,28,1
31,251,73,1
25,196,147,1
54,309,45,1
62,223,5,0
25,285,291,1
62,332,118,0
27,294,204,1
61,219,29,0
41,360,344,1
23,225,180,1
33,142,174,1
64,114,2,1
24,33,32,1
36,142,234,1
28,357,203,1
23,141,249,1
37,259,336,1
65,118,218,1
50,324,327,1
38,55,219,1
61,267,255,1
30,221,248,1
44,117,280,1
25,234,21,1
55,131,55,1
54,108,113,1
59,252,101,0
64,345,11,1
54,13,5,1
61,54,5,1
51,179,147,1
56,24,266,1
48,133,128,1
53,219,65,0
30,303,224,1
39,51,230,1
35,311,345,1
26,28,141,1
21,38,272,1
21,355,204,1
57,349,179,1
45,295,205,1
63,198,51,0
43,257,338,1
25,335,314,1
32,175,308,1
27,77,200,1
41,131,102,1
56,338,19,1
56,281,328,1
21,134,282,1
28,187,105,1
42,290,2,1
30,283,244,1
51,103,95,1
49,149,264,1
32,15,154,1
27,345,168,1
53,316,358,1
39,120,335,1
27,8,130,1
50,135,245,1
20,228,241,1
58,336,342,1
26,40,166,1
40,124,104,1
36,229,31,1
56,290,197,1
45,338,187,1
41,240,135,1
24,223,228,1
35,165,40,1
29,174,153,1
31,72,346,1
61,304,61,0
28,263,102,1
56,125,233,1
44,172,64,1
47,75,119,1
55,5,144,1
35,143,333,1
30,212,45,1
62,323,171,0
55,225,22,0
20,114,123,1
27,153,294,1
41,256,255,1
23,98,142,1
41,43,11,1
53,314,202,1
33,229,304,1
30,96,207,1
45,226,298,1
62,55,76,1
62,109,63,1
30,333,155,1
57,85,238,1
61,286,57,0
46,310,285,1
56,63,202,1
63,156,72,0
39,204,271,1
33,9,14,1
22,19,287,1
28,200,346,1
30,88,29,1
48,177,295,1
33,128,306,1
47,152,243,1
50,225,59,0
62,163,233,1
42,236,59,0
39,224,77,1
40,136,347,1
50,253,292,1
22,26,282,1
37,104,221,1
24,55,154,1
19,62,128,1
24,55,154,1
62,217,26,0
29,101,270,1
62,287,144,0
46,23,216,1
48,309,91,0
54,173,112,1
58,18,31,1
36,71,12,1
36,307,15,1
43,351,171,1
38,236,324,1
33,37,77,1
24,223,56,1
44,72,287,1
23,359,204,1
56,202,10,1
27,307,340,1
25,93,172,1
57,44,113,1
57,131,214,1
42,9,168,1
24,76,4,1
19,356,323,1
43,37,285,1
42,223,356,1
50,113,206,1
37,294,192,1
60,160,109,1
48,39,138,1
62,355,358,1
62,217,237,1
26,94,127,1
55,260,209,1
46,304,21,1
60,240,22,0
54,266,85,0
22,348,246,1
57,202,2,1
29,219,122,1
47,203,164,1
52,7,42,1
42,105,31,1
36,195,193,1
37,178,360,1
35,314,109,1
28,145,3,1
63,167,342,1
27,286,95,1
57,291,2,1
35,35,135,1
56,244,328,1
37,151,111,1
45,308,16,1
62,354,112,0
63,43,18,1
54,178,80,1
24,313,226,1
44,219,315,1
29,48,325,1
61,351,17,1
39,50,275,1
60,260,75,0
48,306,56,1
50,296,77,0
49,204,161,1
48,299,287,1
46,147,334,1
45,37,152,1
64,276,117,0
41,202,206,1
42,221,355,1
19,8,310,1
33,275,210,1
40,13,208,1
21,41,49,1
25,250,46,1
21,312,75,1
54,8,132,1
44,80,192,1
53,46,78,1
44,290,115,0
53,208,336,1
33,217,302,1
58,183,23,1
34,44,232,1
45,223,25,1
22,129,264,1
25,7,80,1
25,155,271,1
58,339,121,0
20,230,94,1
65,21,285,1
35,141,216,1
38,19,165,1
20,301,13,1
63,152,176,1
35,353,300,1
28,339,45,1
47,232,353,1
35,319,178,1
58,80,106,1
58,331,154,0
63,305,193,0
55,134,26,1
53,269,123,0
35,7,109,1
55,23,250,1
25,72,122,1
18,209,232,1
27,340,287,1
53,104,352,1
26,289,71,1
20,230,86,1
37,207,107,1
50,121,289,1
49,69,108,1
24,145,91,1
51,306,96,0
39,298,179,1
31,305,199,1
58,122,56,1
62,81,45,1
29,75,166,1
45,78,265,1
45,122,87,1
45,173,299,1
50,352,217,1
27,12,240,1
50,227,52,0
32,30,17,1
34,126,194,1
65,243,286,1
59,87,147,1
40,222,239,1
21,210,328,1
54,219,126,1
32,197,356,1
42,201,102,1
63,66,115,1
23,252,64,1
45,138,281,1
45,331,94,1
58,229,125,0
24,120,5,1
19,149,6,1
47,10,195,1
44,6,218,1
40,22,50,1
56,117,194,1
21,182,340,1
57,301,207,1
39,119,305,1
20,160,25,1
25,328,9,1
37,104,40,1
33,293,260,1
63,120,279,1
34,101,62,1
35,97,146,1
64,141,243,1
42,108,328,1
44,193,181,1
34,334,313,1
33,278,138,1
28,60,183,1
40,359,313,1
27,133,316,1
20,360,189,1
33,344,182,1
32,330,19,1
36,108,150,1
43,113,1,1
38,253,245,1
24,52,356,1
51,230,34,0
22,231,289,1
18,80,297,1
26,95,59,1
60,80,110,1
54,127,212,1
53,303,308,1
40,215,100,1
36,136,345,1
52,165,149,1
50,68,330,1
54,117,51,1
22,125,302,1
48,14,100,1
64,315,89,0
36,169,197,1
55,91,253,1
64,194,315,1
43,87,295,1
39,68,64,1
25,330,126,1
57,37,248,1
61,305,276,1
41,249,132,1
62,71,133,1
19,134,193,1
19,129,71,1
38,348,279,1
27,130,266,1
23,293,13,1
49,6,238,1
63,37,335,1
33,302,160,1
34,287,91,0
51,6,138,1
38,180,67,1
65,6,334,1
20,211,158,1
64,344,43,1
56,164,75,1
35,3,197,1
19,306,244,1
53,170,353,1
55,96,328,1
26,2,318,1
27,31,11,1
51,63,66,1
20,323,87,1
60,161,336,1
44,101,196,1
42,107,255,1
49,247,293,1
26,101,100,1
28,67,76,1
37,181,91,1
33,66,237,1
35,134,156,1
47,346,101,1
26,1,277,1
58,56,170,1
61,112,155,1
42,294,27,1
44,323,311,1
37,250,84,0
59,358,227,1
36,168,158,1
56,41,96,1
27,234,122,1
53,235,112,0
30,178,55,1
35,223,35,1
41,119,70,1
65,338,43,1
44,121,297,1
26,209,57,1
38,10,107,1
53,309,257,1
23,185,240,1
51,121,293,1
52,153,139,1
57,36,203,1
32,336,354,1
59,348,40,1
38,337,174,1
21,276,262,1
32,65,41,1
42,176,21,1
62,56,122,1
65,188,239,1
20,44,7,1
25,330,269,1
62,90,226,1
27,179,4,1
32,163,316,1
20,123,212,1
48,273,314,1
47,219,299,1
44,252,51,0
46,30,241,1
